country_code	publication_number	application_number	pct_number	family_id	publication_date	filing_date	priority_date
US	US-8709734-B2	US-201013499896-A	PCT/IB2010/054439	43127645	20140429	20101001	20091002
WO	WO-2018089786-A1	US-2017061094-W	PCT/US2017/061094	62109756	20180517	20171110	20161111
US	US-8329745-B2	US-201113226471-A	""	42076104	20121211	20110906	20081002
US	US-9932355-B2	US-201514698073-A	""	54334128	20180403	20150428	20140429
WO	WO-2018096088-A1	EP-2017080319-W	PCT/EP2017/080319	57396333	20180531	20171124	20161124
WO	WO-2018015240-A1	EP-2017067519-W	PCT/EP2017/067519	56418466	20180125	20170712	20160718
US	US-8501782-B2	US-67001608-A	PCT/US2008/070801	40282124	20130806	20080723	20070724
US	US-9643957-B2	US-201314650429-A	PCT/JP2013/083140	50934388	20170509	20131210	20121211
EP	EP-2862861-B1	EP-13804804-A	PCT/JP2013/066306	49758280	20160106	20130613	20120614
WO	WO-2017139274-A1	US-2017016847-W	PCT/US2017/016847	59564012	20170817	20170207	20160209
EP	EP-2757103-A1	EP-12831085-A	PCT/JP2012/073171	47883287	20140723	20120911	20110913
EP	EP-3105216-A1	EP-15707836-A	PCT/US2015/015841	52598823	20161221	20150213	20140214
US	US-9481662-B2	US-201514606938-A	""	49997875	20161101	20150127	20120727
WO	WO-2017141049-A1	GB-2017050421-W	PCT/GB2017/050421	55752910	20170824	20170217	20160219
WO	WO-2018114965-A1	EP-2017083568-W	PCT/EP2017/083568	57614223	20180628	20171219	20161223
WO	WO-2013058613-A2	KR-2012008626-W	PCT/KR2012/008626	48141559	20130425	20121019	20111021
WO	WO-2016051193-A1	GB-2015052884-W	PCT/GB2015/052884	51946845	20160407	20151002	20141003
US	US-8207292-B2	US-6977508-A	""	39690414	20120626	20080212	20070212
WO	WO-2016100555-A1	US-2015066166-W	PCT/US2015/066166	56127558	20160623	20151216	20141218
